CCTV,#genre#
CCTV-1综合,http://60.4.28.19:8077/rtp/239.253.92.83:8012
CCTV-1综合,http://121.29.215.10:2083/rtp/239.253.92.83:8012
CCTV-2财经,http://114.226.212.189:8787/rtp/239.49.8.130:6000
CCTV-2财经,http://121.29.215.10:2083/rtp/239.253.92.190:6065
CCTV-5+体育赛事,http://114.226.212.191:8787/rtp/239.49.8.18:9610
CCTV-5体育,http://106.59.3.228:55555/udp/239.200.200.20:9016
卫视,#genre#
东南卫视,http://114.226.212.191:8787/rtp/239.49.1.45:6000
东方卫视,http://27.18.18.254:9100/rtp/239.254.96.142:8926
东方卫视,http://112.192.73.122:8484/rtp/239.0.0.58:5140
东方卫视,http://124.112.189.1:4022/rtp/238.1.78.163:7176
内蒙古卫视,http://123.179.62.99:4022/rtp/239.29.0.2:5000
北京卫视4K超高清,http://115.171.216.40:4000/rtp/225.1.8.128:8002
吉林卫视,http://27.18.18.254:9100/rtp/239.69.1.212:10914
天津卫视,http://114.226.212.190:8787/rtp/239.49.8.35:8620
天津卫视,http://219.156.94.32:4022/rtp/225.1.4.86:1115
天津卫视,http://114.226.212.191:8787/rtp/239.49.8.35:8620
安徽卫视,http://115.171.216.40:4000/udp/225.1.8.52:8064
安徽卫视,http://124.112.189.1:4022/rtp/238.1.79.27:4328
山东卫视,http://114.226.212.191:8787/rtp/239.49.8.7:9306
山西卫视,http://114.226.212.191:8787/rtp/239.49.1.51:6000
广东卫视,http://114.254.36.239:8888/rtp/239.3.1.142:8048
广西卫视,http://114.226.212.190:8787/rtp/239.49.1.40:6000
江西卫视,http://27.18.18.254:9100/rtp/239.69.1.126:10394
浙江卫视,http://112.192.73.202:8484/rtp/239.0.0.61:5140
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
海南卫视,http://115.171.216.40:4000/rtp/225.1.8.158:8304
深圳卫视,http://114.226.212.191:8787/rtp/239.49.8.15:9430
湖北卫视,http://114.254.36.239:8888/rtp/239.3.1.138:8044
湖北卫视,http://106.59.3.228:55555/rtp/239.200.200.68:8772
湖南卫视,http://221.220.128.203:8012/rtp/239.3.1.132:8012
辽宁卫视,http://219.156.94.32:4022/rtp/225.1.4.167:1208
辽宁卫视,http://114.226.212.191:8787/rtp/239.49.1.35:6000
辽宁卫视,http://115.171.216.40:4000/udp/225.1.8.51:8056
重庆卫视,http://114.226.212.190:8787/rtp/239.49.8.149:6000
重庆卫视,http://27.18.18.254:9100/rtp/239.69.1.149:10530
青海卫视,http://115.171.216.40:4000/rtp/225.1.8.157:8184
